Nummer;WVWZZZ161NZ331205;10
1VWZZZ9K998795955;2
9BW7M901435961;1
3VWZZZ70ES2058204;5
3VW2454G216183;6
3VWZZZ253HD476606;7
9BW21E94943700;6
9BW2KB86676542;10
AAVZZZ2VHJ3850981;9
WV27DJ38050408;10
WVWZZZ2DM89096921;8
AAV21C74299239;1
WV2ZZZ33198683747;1
WV27HAWV447828;8
9BW1J589545879;7
WVWZZZ7HM3T758380;8
AAV2214D818935;2
3VW1C182683918;7
1VW1J6GX581211;6
AAVZZZ181E4725615;7
1VWZZZ6V2G6788140;6
WV27DBJ5297899;10
3VW2DE9N943249;1
3VW6N21J870334;3
9BWZZZ9G12K393890;1
1VWZZZ70CP7797871;1
WVWZZZ5Z550334670;1
AAVZZZ425CT551939;9
AAVZZZ7HM9C539848;8
9BWZZZ323D3489056;7
AAVZZZ25399674165;2
WVW1H26G200747;10
WV2181SE225181;4
WV2ZZZ26537225213;8
1VWZZZ255H2837009;5
WV2ZZZ283EA638304;4
3VW365NR094650;8
9BWZZZ3B2EM360083;9
9BW7AXC1492168;5
AAV6V26B971773;4
1VW2DK8A470907;9
WV2ZZZ151Y0938874;2
9BWZZZ1AE9R078403;6
WV2ZZZ21187673907;3
WVW2916L012704;8
WV2ZZZ271XA089589;1
WV2ZZZ70E64941714;4
AAVZZZ53178207512;4
WVWZZZ1675E166087;10
9BW6N28K641321;3
WV2ZZZ7M87X267155;10
1VWZZZ1838M386457;1
3VW7JD4R513392;4
WV22DC25876707;1
WV2ZZZ7AGR2625147;6
WV2ZZZ2457S991649;4
AAV7AG6E458901;5
WV2ZZZ285XZ308317;2
WV2292G4505919;3
1VW1J12M318346;4
9BW802L0396136;5
3VWZZZ163T5047616;9
AAV7DBF6068524;9
1VWZZZ2DFBV077798;4
WV2113M2092772;5
9BWZZZ192FY440871;4
9BW7DMGG343179;4
AAV2DM8E847714;2
AAV3D8L2011660;9
1VW21HBA391286;8
3VWZZZ42587878641;1
WVWZZZ2VFGL772044;4
WVWZZZ5Z510178917;8
AAV284BG528604;9
1VWZZZ3G283450474;3
9BWZZZ7M67B853415;5
WV2ZZZ3631J568449;3
1VW415MC611802;8
WVW21H4S454883;1
WVWZZZ6V5G3978023;10
9BWZZZ3G23F297333;3
9BWZZZ1926A517815;6
AAV143XG770868;4
WVWZZZ2DEBZ976026;7
9BWZZZ70L8J288122;3
AAVZZZ421F2270702;8
AAVZZZ86108831782;5
9BW7AX91614920;1
AAV3B6WX370712;2
1VW2DDML669799;10
AAVZZZ70CF3417610;7
AAV7DKDC633115;9
9BWZZZ7DB9S737652;7
1VWZZZ2DBPN643555;10
WV2ZZZ117G9192647;4
1VW1H5J4642077;3
WVW36528306187;2
9BW3D2L6380008;2
AAVZZZ261M2424437;8
AAVZZZ86729856822;10
